action,condition,error_type,kappa,lambda_reward,mae,max,max_abs,mean_abs_common_shift,mean_centered_bias_l2,mean_max_abs_action_residual,median,min,mixture,model_seed,n,n_anchors,p90_abs,record_type,rmse,signed_mean
minus,confounded,neural_approximation_error,0.0,0.0,0.02483995481536094,0.08951314844734037,0.1775090325332087,,,,-0.0018947235165158727,-0.1775090325332087,logger1_heavy,1,78,,0.05436855892609563,action_error,0.0379917908146818,-0.004504882045603815
minus,confounded,total_neural_do_error,0.0,0.0,0.024839954815360905,0.08951314844734082,0.1775090325332087,,,,-0.0018947235165156506,-0.1775090325332087,logger1_heavy,1,78,,0.05436855892609563,action_error,0.037991790814681785,-0.004504882045603629
base,confounded,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.0,0.02574699370810733,0.09727125607610398,0.17365176336821442,,,,-0.0018594748138982542,-0.17365176336821442,logger1_heavy,1,78,,0.06239285451110414,action_error,0.0383987209371644,-0.0038950708187046232
base,confounded,total_neural_do_error,0.0,0.0,0.025746993708107315,0.09727125607610398,0.17365176336821442,,,,-0.0018594748138982542,-0.17365176336821442,logger1_heavy,1,78,,0.06239285451110414,action_error,0.038398720937164385,-0.0038950708187046003
plus,confounded,population_causal_bias,0.0,0.0,2.4054832200211723e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,3.680046780460589e-16,2.0638761355211244e-16
plus,confounded,neural_approximation_error,0.0,0.0,0.026189285719220832,0.10606639857742062,0.1657197151169698,,,,-0.0005854636758613196,-0.1657197151169698,logger1_heavy,1,78,,0.061449155239149976,action_error,0.03940042899145609,-0.003607588369650364
plus,confounded,total_neural_do_error,0.0,0.0,0.026189285719220783,0.10606639857742062,0.1657197151169698,,,,-0.0005854636758608756,-0.1657197151169698,logger1_heavy,1,78,,0.06144915523915029,action_error,0.039400428991456043,-0.0036075883696501574
minus,confounded,population_causal_bias,0.0,0.0,2.4197168485420076e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,3.6128751349910743e-16,1.8503717077085943e-16
minus,confounded,neural_approximation_error,0.0,0.0,0.024291642557730284,0.14967992129552377,0.14967992129552377,,,,-0.0021606303661586,-0.1425823603483325,logger1_heavy,2,78,,0.05519514148526284,action_error,0.03755420527644631,0.0002305664398116875
minus,confounded,total_neural_do_error,0.0,0.0,0.024291642557730236,0.1496799212955242,0.1496799212955242,,,,-0.0021606303661585446,-0.1425823603483325,logger1_heavy,2,78,,0.05519514148526284,action_error,0.037554205276446304,0.00023056643981187252
base,confounded,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.0,0.024228129724070353,0.14182096733258387,0.14182096733258387,,,,-0.005254324982292058,-0.12711450089003007,logger1_heavy,2,78,,0.049621758351926525,action_error,0.036476660202062874,0.00019032095913915865
base,confounded,total_neural_do_error,0.0,0.0,0.024228129724070353,0.14182096733258387,0.14182096733258387,,,,-0.005254324982292058,-0.12711450089003007,logger1_heavy,2,78,,0.049621758351926525,action_error,0.03647666020206286,0.00019032095913918142
plus,confounded,population_causal_bias,0.0,0.0,2.4054832200211723e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,3.680046780460589e-16,2.0638761355211244e-16
