condition,kappa,lambda_reward,mixture,model_seed,n_anchors,neural_calibration_mae,neural_gap_absolute_error,nn_do_rank_error,nn_obs_rank_error,nn_regret,obs_do_rank_error,obs_regret,random_action_regret
independent_latents,0.0,0.0,logger2_heavy,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
confounded,0.0,0.05,logger1_heavy,0,78,0.038058259093419325,0.03264728940054454,0.9230769230769231,0.02564102564102564,0.005759501790866002,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.05,logger1_heavy,1,78,0.03615734168639645,0.029950436105317835,0.9102564102564102,0.05128205128205128,0.005679730709551423,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.05,logger1_heavy,2,78,0.036609172344932765,0.030008222390634016,0.9487179487179487,0.0,0.005877633093443531,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.05,logger12_balanced,0,78,0.034257651815412335,0.026645491860246152,0.9102564102564102,0.038461538461538464,0.005588795723747603,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.05,logger12_balanced,1,78,0.031543607082830084,0.02610683062931589,0.9358974358974359,0.02564102564102564,0.005789929921387598,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.05,logger12_balanced,2,78,0.0329173954069221,0.024123840977674085,0.9487179487179487,0.0,0.005877633093443531,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.05,logger2_heavy,0,78,0.028219097049924462,0.01988003907881013,0.9102564102564102,0.05128205128205128,0.005564436782056622,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.05,logger2_heavy,1,78,0.02838822752640918,0.020417543404654244,0.9230769230769231,0.038461538461538464,0.005727367590636927,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.05,logger2_heavy,2,78,0.029462274947197952,0.01767216028551819,0.9487179487179487,0.05128205128205128,0.005774725458079244,0.9487179487179487,0.005877633093443531,0.0030295417686908876
independent_latents,0.0,0.05,logger1_heavy,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.05,logger1_heavy,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.05,logger1_heavy,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.05,logger12_balanced,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.05,logger12_balanced,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.05,logger12_balanced,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.05,logger2_heavy,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.05,logger2_heavy,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.05,logger2_heavy,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
confounded,0.0,0.1,logger1_heavy,0,78,0.04872446285788719,0.044306236435211796,0.9358974358974359,0.01282051282051282,0.005812438237137814,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.1,logger1_heavy,1,78,0.053981699524501235,0.049184254552545506,0.9102564102564102,0.038461538461538464,0.005708594509830542,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.1,logger1_heavy,2,78,0.04741943719616104,0.036920585832576375,0.9487179487179487,0.0,0.005877633093443531,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.1,logger12_balanced,0,78,0.04181824958352965,0.03531617639510499,0.9358974358974359,0.01282051282051282,0.005812438237137814,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.1,logger12_balanced,1,78,0.04518957443459875,0.039638403628739376,0.9102564102564102,0.038461538461538464,0.005708594509830542,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.1,logger12_balanced,2,78,0.041931349929938286,0.028740334135098963,0.9487179487179487,0.01282051282051282,0.005860408368890631,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.1,logger2_heavy,0,78,0.04266424029365234,0.036779756580682145,0.9230769230769231,0.02564102564102564,0.005759501790866002,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.1,logger2_heavy,1,78,0.039165491478891944,0.029915380639703518,0.9102564102564102,0.0641025641025641,0.005637670454155001,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.1,logger2_heavy,2,78,0.038816553585120005,0.030441431129751402,0.9487179487179487,0.0,0.005877633093443531,0.9487179487179487,0.005877633093443531,0.0030295417686908876
independent_latents,0.0,0.1,logger1_heavy,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.1,logger1_heavy,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
