family,subset,metric,action,condition,mixture,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_valid_repetitions,n_all,n_pair_unclipped,clipping_rate,reward_drift_all,reward_drift_clean,delta_drift_all,delta_drift_clean,all_anchors,strict_unclipped_anchors,any_clipping_anchors
action_specific,action_pair_any_clipping,delta_do_error_l2,base,confounded,logger1_heavy,anchor_id,2000,1002,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_do_error_abs,base,confounded,logger12_midpoint,anchor_id,2000,1002,648,9.183326253072283e-17,2.202340295814038e-15,0.0,0.0,0.0,0.0,0.0,5.595524044110789e-14,0.0,2.700172047545134e-16,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_do_error_l2,base,confounded,logger12_midpoint,anchor_id,2000,1002,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_do_error_abs,base,confounded,logger2_heavy,anchor_id,2000,1002,648,9.183326253072283e-17,2.202340295814038e-15,0.0,0.0,0.0,0.0,0.0,5.595524044110789e-14,0.0,2.700172047545134e-16,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_do_error_l2,base,confounded,logger2_heavy,anchor_id,2000,1002,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,reward_u_effect_abs,plus,do_oracle,none,anchor_id,2000,2000,2048,0.012005411414207516,0.006648808552370132,0.010168002642108265,0.0042037170550247365,0.006742158206503979,0.01886433185845604,0.02100351098760256,0.03139338946968184,0.011718266263407362,0.012307192987251508,,,,,,,,,,,
action_specific,all,delta_u_effect_l2,plus,do_oracle,none,anchor_id,2000,2000,2048,0.770173526017258,0.13432113989391778,0.7776803899205967,0.5316226101667773,0.7245924283550969,0.8827875738749442,0.9422845391609493,0.9530624980697757,0.7640684564889975,0.7756729176260764,,,,,,,,,,,
action_specific,all,reward_drift,plus,confounded,heavy_contrast,anchor_id,2000,2000,2048,0.009337542211050282,0.0051712955407323315,0.007908446499417465,0.003269557709463511,0.005243900827280934,0.014672258112132686,0.016336064101468574,0.024417080698641236,0.009114207093761274,0.009572261212306726,,,,,,,,,,,
action_specific,all,reward_drift,plus,independent_latents,heavy_contrast,anchor_id,2000,2000,2048,5.767955557622884e-17,1.9700748217147907e-15,0.0,0.0,0.0,0.0,0.0,8.615330671091215e-14,1.840433187794144e-18,1.5677563414140394e-16,,,,,,,,,,,
action_specific,all,delta_drift,plus,confounded,heavy_contrast,anchor_id,2000,2000,2048,0.5990238535689782,0.1044719976952694,0.6048625254937974,0.4134842523519378,0.5635718887206309,0.68661255745829,0.7328879749029606,0.7412708318320477,0.594275466158109,0.6033011581536162,,,,,,,,,,,
action_specific,all,delta_drift,plus,independent_latents,heavy_contrast,anchor_id,2000,2000,2048,1.3207600071460962e-16,1.7359609665528615e-16,6.496342629149515e-17,6.980755691460278e-18,1.5521898148890684e-17,1.6883447432982303e-16,3.1406831932840416e-16,9.425792048788986e-16,1.2481961188241189e-16,1.3987230800108348e-16,,,,,,,,,,,
