kappa,lambda_reward,condition,seed,method,validation_nll
0.0,0.1,confounded,2,no_staged_training,-0.7887516617774963
0.0,0.1,confounded,3,public_residual_init_nll_best,-1.083058476448059
0.0,0.1,confounded,3,source_shuffle_initialization,-0.7566252946853638
0.0,0.1,confounded,3,no_staged_training,-0.9428229331970215
0.0,0.1,confounded,4,public_residual_init_nll_best,-1.14760160446167
0.0,0.1,confounded,4,source_shuffle_initialization,-0.737104594707489
0.0,0.1,confounded,4,no_staged_training,-0.9352373480796814
0.0,0.1,confounded,-1,public_residual_init_uniform_candidate_ensemble,-0.8767515242099763
0.0,0.1,confounded,0,public_residual_init_uniform_candidate_ensemble,-0.8730086892843246
0.0,0.1,confounded,1,public_residual_init_uniform_candidate_ensemble,-0.9124107211828233
0.0,0.1,confounded,2,public_residual_init_uniform_candidate_ensemble,-0.8359587192535402
0.0,0.1,confounded,3,public_residual_init_uniform_candidate_ensemble,-0.856660008430481
0.0,0.1,confounded,4,public_residual_init_uniform_candidate_ensemble,-0.9057194828987121
0.0,0.1,confounded,0,pooled_mlp,-0.6547849774360657
0.0,0.1,confounded,0,V0_random_init_mechanism,0.0029051690362393856
0.0,0.1,confounded,0,V7_oracle_u_aware,
0.0,0.1,confounded,0,V1_explicit_collapsed,0.027396755293011665
0.0,0.1,confounded,0,V6_oracle_initialized_joint,-1.005929946899414
0.0,0.1,confounded,1,pooled_mlp,-0.6508054733276367
0.0,0.1,confounded,1,V0_random_init_mechanism,-0.005469107534736395
0.0,0.1,confounded,1,V7_oracle_u_aware,
0.0,0.1,confounded,1,V1_explicit_collapsed,0.028842823579907417
0.0,0.1,confounded,1,V6_oracle_initialized_joint,-0.9544358253479004
0.0,0.1,confounded,2,pooled_mlp,-0.6493102312088013
0.0,0.1,confounded,2,V0_random_init_mechanism,-0.0024899833370000124
0.0,0.1,confounded,2,V7_oracle_u_aware,
0.0,0.1,confounded,2,V1_explicit_collapsed,0.013828526251018047
0.0,0.1,confounded,2,V6_oracle_initialized_joint,-1.0576105117797852
