kappa,lambda_reward,condition,seed,method,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,calibration_budget,calibration_replicate
0.0,0.002,confounded,1,V6_oracle_initialized_joint,0.0009722925580559186,0.0009722925580559186,0.003534569416932692,0.0038972559193291008,0.014126174632168809,,
0.0,0.002,confounded,2,pooled_mlp,0.001015526041030662,0.001015526041030662,0.0037806933334755973,0.0038972559193291008,0.014334114235150075,,
0.0,0.002,confounded,2,V0_random_init_mechanism,0.0011838139265480743,0.0011856492809249478,0.0036579850330335493,0.004360286169991401,0.014126174632168809,,
0.0,0.002,confounded,2,V7_oracle_u_aware,0.0006319087212504527,0.0006319087212504527,0.0032543299144398314,0.0029639481580430167,0.010190327602197957,,
0.0,0.002,confounded,2,V1_explicit_collapsed,0.0011625611055007792,0.0011625611055007792,0.003703416305151967,0.004429133114892458,0.014224412301706568,,
0.0,0.002,confounded,2,V6_oracle_initialized_joint,0.0011529453946082088,0.0011529453946082088,0.003914946449823478,0.004741047948370358,0.014334114235150075,,
0.0,0.002,confounded,3,pooled_mlp,0.0009135932791478938,0.0009135932791478938,0.003485189176008632,0.0032445525518297377,0.012069758204197978,,
0.0,0.002,confounded,3,V0_random_init_mechanism,0.0009698307744979573,0.0009698307744979573,0.0036546062112179124,0.0038960338980173143,0.014126174632168809,,
0.0,0.002,confounded,3,V7_oracle_u_aware,0.0006383810756819138,0.0006383810756819138,0.00372188212048512,0.0032118546334494623,0.007581168661232152,,
0.0,0.002,confounded,3,V1_explicit_collapsed,0.0009327471212177313,0.0009327471212177313,0.0036027357557034873,0.003956913139547867,0.012069758204197978,,
0.0,0.002,confounded,3,V6_oracle_initialized_joint,0.0009137884408569346,0.0009137884408569346,0.0037152714240104314,0.003876778927173862,0.011617201355214934,,
0.0,0.002,confounded,4,pooled_mlp,0.0012879524094473634,0.0012879524094473634,0.003979772945192353,0.004828898692921422,0.014169029059608373,,
0.0,0.002,confounded,4,V0_random_init_mechanism,0.001157869505894974,0.001157869505894974,0.0037268924720994475,0.004048566653268092,0.01638699095829299,,
0.0,0.002,confounded,4,V7_oracle_u_aware,0.0007666479969277694,0.0007666479969277694,0.003290197653481677,0.0032663596210944926,0.010190327602197957,,
0.0,0.002,confounded,4,V1_explicit_collapsed,0.0019741416703642164,0.0019741416703642164,0.004420360696685094,0.005692964836942148,0.014169029059608373,,
0.0,0.002,confounded,4,V6_oracle_initialized_joint,0.0010923270082337782,0.0010923270082337782,0.0037924611858903084,0.004331684982749539,0.01221665820568063,,
0.0,0.005,confounded,0,public_residual_init_nll_best,0.00196041870050572,0.00196041870050572,0.004589161958002027,0.006083718842479068,0.013142488794362972,,
0.0,0.005,confounded,0,source_shuffle_initialization,0.0021526921728467012,0.0021526921728467012,0.004684379446546694,0.006356437018625272,0.014961950454980055,,
0.0,0.005,confounded,0,no_staged_training,0.001972086363071277,0.001972086363071277,0.004291371029500173,0.0058149346713247665,0.014334114235150075,,
0.0,0.005,confounded,1,public_residual_init_nll_best,0.002092494302739045,0.002092494302739045,0.004521543633191363,0.005644377496968022,0.015054098040339525,,
0.0,0.005,confounded,1,source_shuffle_initialization,0.002218218775450549,0.002218218775450549,0.004539268884862381,0.0058618702530819355,0.015054098040339525,,
0.0,0.005,confounded,1,no_staged_training,0.0020274365886838847,0.0020274365886838847,0.0044431057156263856,0.006287980844527041,0.014126174632168809,,
