kappa,lambda_reward,condition,mixture,seed,variant,train_nll,validation_nll,test_nll,observational_reward_mae
0.0,0.0,confounded,logger12_balanced,2,oracle_initialized_joint,-1.919151782989502,-1.5162864923477173,-1.616828203201294,0.012729278045645847
0.0,0.0,confounded,logger12_balanced,2,oracle_u_aware_ceiling,-1.3941124904075546,-1.2610171676388398,-1.299287912921916,0.012616418403533223
0.0,0.0,confounded,logger12_balanced,3,current_random_init,-1.3826000690460205,-1.267931342124939,-1.3047490119934082,0.010846452302038291
0.0,0.0,confounded,logger12_balanced,3,collapsed_constrained_reference,-1.3486326932907104,-1.2285828590393066,-1.2732864618301392,0.012405031921045102
0.0,0.0,confounded,logger12_balanced,3,true_behavior_fixed,-1.3691447973251343,-1.2637954950332642,-1.309464454650879,0.011845871492247096
0.0,0.0,confounded,logger12_balanced,3,true_behavior_fixed_em,-1.2629423141479492,-1.1673375368118286,-1.2072895765304565,0.015035859336757067
0.0,0.0,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,-1.301146149635315,-1.211310863494873,-1.2461450099945068,0.012128974297618902
0.0,0.0,confounded,logger12_balanced,3,oracle_compatible_plugin,-1.3018379211425781,-1.2095916271209717,-1.2456047534942627,0.012197611360738965
0.0,0.0,confounded,logger12_balanced,3,oracle_initialized_joint,-1.9536188840866089,-1.5795027017593384,-1.7454109191894531,0.010061114725061666
0.0,0.0,confounded,logger12_balanced,3,oracle_u_aware_ceiling,-1.4061034618457968,-1.2878696201291295,-1.336765994108652,0.009576879861118295
0.0,0.0,confounded,logger12_balanced,4,current_random_init,-1.3945136070251465,-1.2735874652862549,-1.280874490737915,0.012491390013497998
0.0,0.0,confounded,logger12_balanced,4,collapsed_constrained_reference,-1.325425624847412,-1.2237955331802368,-1.2528040409088135,0.013311473249440984
0.0,0.0,confounded,logger12_balanced,4,true_behavior_fixed,-1.33031165599823,-1.2257030010223389,-1.2627202272415161,0.013650423081971858
0.0,0.0,confounded,logger12_balanced,4,true_behavior_fixed_em,-1.3627541065216064,-1.2619444131851196,-1.292814016342163,0.01258626379887976
0.0,0.0,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,-1.3668946027755737,-1.2646323442459106,-1.2784830331802368,0.012811222982490943
0.0,0.0,confounded,logger12_balanced,4,oracle_compatible_plugin,-1.3686007261276245,-1.2648357152938843,-1.2776042222976685,0.012857351864541795
0.0,0.0,confounded,logger12_balanced,4,oracle_initialized_joint,-2.0225377082824707,-1.6763596534729004,-1.7190912961959839,0.010084585619063625
0.0,0.0,confounded,logger12_balanced,4,oracle_u_aware_ceiling,-1.3826468129471232,-1.2778872965931969,-1.2879074589248907,0.012405784605712285
0.0,0.002,confounded,logger12_balanced,0,current_random_init,-1.3879303932189941,-1.2597429752349854,-1.2972816228866577,0.01283616525126802
0.0,0.002,confounded,logger12_balanced,0,collapsed_constrained_reference,-1.3526517152786255,-1.2470251321792603,-1.2738020420074463,0.012055077759600408
0.0,0.002,confounded,logger12_balanced,0,true_behavior_fixed,-1.2822551727294922,-1.1499606370925903,-1.2078652381896973,0.017703815799068278
0.0,0.002,confounded,logger12_balanced,0,true_behavior_fixed_em,-1.3731902837753296,-1.2600009441375732,-1.293143630027771,0.012471593069399765
0.0,0.002,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,-1.3419971466064453,-1.2324802875518799,-1.2618731260299683,0.014354134728513246
0.0,0.002,confounded,logger12_balanced,0,oracle_compatible_plugin,-1.3450604677200317,-1.232495665550232,-1.2628247737884521,0.014385419025082918
0.0,0.002,confounded,logger12_balanced,0,oracle_initialized_joint,-2.0407938957214355,-1.5865046977996826,-1.7772070169448853,0.0100500408666317
0.0,0.002,confounded,logger12_balanced,0,oracle_u_aware_ceiling,-1.4026403409544688,-1.2804054741190194,-1.3329801985600211,0.01232015322679787
0.0,0.002,confounded,logger12_balanced,1,current_random_init,-1.4101108312606812,-1.2999104261398315,-1.3222978115081787,0.0108105801098845
0.0,0.002,confounded,logger12_balanced,1,collapsed_constrained_reference,-1.317103624343872,-1.2121491432189941,-1.2402938604354858,0.014870883398378311
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed,-1.3206217288970947,-1.218947410583496,-1.2493757009506226,0.01531599595309264
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed_em,-1.306569218635559,-1.2145780324935913,-1.2396821975708008,0.016864767362709063
