kappa,lambda_reward,condition,mixture,seed,variant,latent_collapse,reward_mode_separation,behavior_separation,prior_p_z1,prior_error,posterior_entropy,posterior_effective_usage,posterior_u_accuracy
0.0,0.005,confounded,logger12_balanced,3,true_behavior_fixed,False,0.006621792254378153,0.3999999761581421,0.5,0.0,0.5127255916595459,1.6698362899603423,0.5061488673139158
0.0,0.005,confounded,logger12_balanced,3,true_behavior_fixed_em,False,0.0052114796297628154,0.3999999761581421,0.5,0.0,0.5127331018447876,1.6698488307872952,0.5074433656957928
0.0,0.005,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,False,0.010648127709043323,0.16514620184898376,0.5,0.0,0.6649624109268188,1.9444174311140299,0.5320388349514563
0.0,0.005,confounded,logger12_balanced,3,oracle_compatible_plugin,False,0.010648127709043323,0.3999999761581421,0.5,0.0,0.5117006897926331,1.668125748347702,0.5288025889967638
0.0,0.005,confounded,logger12_balanced,3,oracle_initialized_joint,False,0.00591132550791441,0.41287821531295776,0.4983595907688141,0.001640409231185913,0.5037294626235962,1.6548815952657685,0.5281553398058253
0.0,0.005,confounded,logger12_balanced,3,oracle_u_aware_ceiling,False,0.010619675220824722,,0.5,,0.0,1.0,1.0
0.0,0.005,confounded,logger12_balanced,4,current_random_init,True,0.006394339930742144,0.17680780589580536,0.9932490587234497,0.4932490587234497,0.03545714169740677,1.036093241978806,0.5
0.0,0.005,confounded,logger12_balanced,4,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.005,confounded,logger12_balanced,4,true_behavior_fixed,False,0.005834491333399782,0.3999999761581421,0.5,0.0,0.5131571292877197,1.67055704265712,0.511326860841424
0.0,0.005,confounded,logger12_balanced,4,true_behavior_fixed_em,False,0.005673371828642943,0.3999999761581421,0.5,0.0,0.5120814442634583,1.6687610156170358,0.5009708737864078
0.0,0.005,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,False,0.010907684946284454,0.10596239566802979,0.5,0.0,0.6776720881462097,1.969288063104921,0.5362459546925566
0.0,0.005,confounded,logger12_balanced,4,oracle_compatible_plugin,False,0.010907684946284454,0.3999999761581421,0.5,0.0,0.5135362148284912,1.6711904467266019,0.517799352750809
0.0,0.005,confounded,logger12_balanced,4,oracle_initialized_joint,False,0.0056668491944804255,0.404437392950058,0.4998025894165039,0.00019741058349609375,0.507735550403595,1.6615244933341193,0.517799352750809
0.0,0.005,confounded,logger12_balanced,4,oracle_u_aware_ceiling,False,0.010770896171333163,,0.5,,0.0,1.0,1.0
0.0,0.01,confounded,logger12_balanced,0,current_random_init,True,0.006931555538434333,0.17970047891139984,0.9929333925247192,0.49293339252471924,0.03660422936081886,1.037282413666517,0.5
0.0,0.01,confounded,logger12_balanced,0,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.01,confounded,logger12_balanced,0,true_behavior_fixed,False,0.006614824361859575,0.3999999761581421,0.5,0.0,0.5144625902175903,1.6727393137323183,0.5262135922330097
0.0,0.01,confounded,logger12_balanced,0,true_behavior_fixed_em,False,0.005583638496420386,0.3999999761581421,0.5,0.0,0.5126262903213501,1.6696704812148326,0.5132686084142395
0.0,0.01,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,False,0.021684886861052598,0.4106888771057129,0.5,0.0,0.521209716796875,1.6840636580479909,0.5533980582524272
0.0,0.01,confounded,logger12_balanced,0,oracle_compatible_plugin,False,0.021684886861052598,0.3999999761581421,0.5,0.0,0.5087884068489075,1.6632747613347616,0.5550161812297735
0.0,0.01,confounded,logger12_balanced,0,oracle_initialized_joint,False,0.006214754454347986,0.40817004442214966,0.5025233030319214,0.0025233030319213867,0.5054089426994324,1.657663271163664,0.5355987055016181
0.0,0.01,confounded,logger12_balanced,0,oracle_u_aware_ceiling,False,0.019503269917104465,,0.5,,0.0,1.0,1.0
0.0,0.01,confounded,logger12_balanced,1,current_random_init,True,0.00761558261011089,0.18470576405525208,0.9929712414741516,0.4929712414741516,0.03652055189013481,1.037195620129139,0.5
0.0,0.01,confounded,logger12_balanced,1,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.01,confounded,logger12_balanced,1,true_behavior_fixed,False,0.006506504697745666,0.3999999761581421,0.5,0.0,0.5112069845199585,1.6673023891353749,0.511326860841424
0.0,0.01,confounded,logger12_balanced,1,true_behavior_fixed_em,False,0.00577815682743291,0.3999999761581421,0.5,0.0,0.5118552446365356,1.6683835851868007,0.5129449838187702
0.0,0.01,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,False,0.02141469350809842,0.3465244770050049,0.5,0.0,0.5694765448570251,1.7673416851665047,0.5559870550161812
0.0,0.01,confounded,logger12_balanced,1,oracle_compatible_plugin,False,0.02141469350809842,0.3999999761581421,0.5,0.0,0.5098692774772644,1.6650735181077363,0.5563106796116505
0.0,0.01,confounded,logger12_balanced,1,oracle_initialized_joint,False,0.0070196822815634385,0.41795796155929565,0.5023916959762573,0.0023916959762573242,0.49188488721847534,1.6353958534039685,0.5326860841423948
0.0,0.01,confounded,logger12_balanced,1,oracle_u_aware_ceiling,False,0.0192819803986092,,0.5,,0.0,1.0,1.0
0.0,0.01,confounded,logger12_balanced,2,current_random_init,True,0.007114024049707997,0.1571544110774994,0.006663854233920574,0.4933361457660794,0.03581779822707176,1.0364669831639157,0.5
0.0,0.01,confounded,logger12_balanced,2,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.01,confounded,logger12_balanced,2,true_behavior_fixed,False,0.0073844465915601475,0.3999999761581421,0.5,0.0,0.5107079744338989,1.6664705959805326,0.5132686084142395
0.0,0.01,confounded,logger12_balanced,2,true_behavior_fixed_em,False,0.006639470377162828,0.3999999761581421,0.5,0.0,0.5135201215744019,1.671163552050523,0.5313915857605178
0.0,0.01,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,False,0.020134259134151677,0.3556751608848572,0.5,0.0,0.564170241355896,1.7579884712371394,0.5508090614886731
0.0,0.01,confounded,logger12_balanced,2,oracle_compatible_plugin,False,0.020134259134151677,0.3999999761581421,0.5,0.0,0.510757565498352,1.6665532400804546,0.5504854368932038
