anchor_id,kappa,condition,mixture,segment_kind,lambda_start,lambda_stop,probe_lambda,top_set,top_disagreement,strict_flip,regret_best,regret_worst,true_do_regret,observational_top_second_gap
559,0.0,confounded,logger1_heavy,interval,0.0,0.0019150526987716668,0.0009575263493858334,minus,False,False,0.0,0.0,0.0,0.0007234643528692963
559,0.0,confounded,logger1_heavy,point,0.0019150526987716668,0.0019150526987716668,0.0019150526987716668,minus|base,True,False,0.0,0.0014469287057385927,0.0,0.0
559,0.0,confounded,logger1_heavy,interval,0.0019150526987716668,0.0019711053643087064,0.0019430790315401866,base,True,True,0.0014469287057385927,0.0014469287057385927,0.0014469287057385927,2.117545142521493e-05
559,0.0,confounded,logger1_heavy,point,0.0019711053643087064,0.0019711053643087064,0.0019711053643087064,base,True,True,0.0014469287057385927,0.0014469287057385927,0.0014469287057385927,4.235090284998577e-05
559,0.0,confounded,logger1_heavy,interval,0.0019711053643087064,0.0020271580298457464,0.001999131697077226,base,True,True,0.0014469287057385927,0.0014469287057385927,0.0014469287057385927,2.117545142521493e-05
559,0.0,confounded,logger1_heavy,point,0.0020271580298457464,0.0020271580298457464,0.0020271580298457464,base|plus,True,True,0.0014469287057385927,0.002978559217177601,0.0014469287057385927,0.0
559,0.0,confounded,logger1_heavy,interval,0.0020271580298457464,+inf,1.0020271580298457,plus,True,True,0.002978559217177601,0.002978559217177601,0.002978559217177601,0.7555555555555555
560,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.002521848921337
560,0.0,confounded,logger1_heavy,interval,0.0,0.0033377412194166177,0.0016688706097083088,minus,False,False,0.0,0.0,0.0,0.001260924460668722
560,0.0,confounded,logger1_heavy,point,0.0033377412194166177,0.0033377412194166177,0.0033377412194166177,minus|base,True,False,0.0,0.002521848921337,0.0,0.0
560,0.0,confounded,logger1_heavy,interval,0.0033377412194166177,0.003392659681706747,0.003365200450561682,base,True,True,0.002521848921337,0.002521848921337,0.002521848921337,2.07469746427158e-05
560,0.0,confounded,logger1_heavy,point,0.003392659681706747,0.003392659681706747,0.003392659681706747,base,True,True,0.002521848921337,0.002521848921337,0.002521848921337,4.1493949285875686e-05
560,0.0,confounded,logger1_heavy,interval,0.003392659681706747,0.0034475781439968767,0.003420118912851812,base,True,True,0.002521848921337,0.002521848921337,0.002521848921337,2.07469746427158e-05
560,0.0,confounded,logger1_heavy,point,0.0034475781439968767,0.0034475781439968767,0.0034475781439968767,base|plus,True,True,0.002521848921337,0.005126685741246195,0.002521848921337,0.0
560,0.0,confounded,logger1_heavy,interval,0.0034475781439968767,+inf,1.0034475781439969,plus,True,True,0.005126685741246195,0.005126685741246195,0.005126685741246195,0.7555555555555555
561,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0031251912082304045
561,0.0,confounded,logger1_heavy,interval,0.0,0.004136282481481418,0.002068141240740709,minus,False,False,0.0,0.0,0.0,0.0015625956041152023
561,0.0,confounded,logger1_heavy,point,0.004136282481481418,0.004136282481481418,0.004136282481481418,minus|base,True,False,0.0,0.0031251912082304045,0.0,0.0
561,0.0,confounded,logger1_heavy,interval,0.004136282481481418,0.004190026452991622,0.00416315446723652,base,True,True,0.0031251912082304045,0.0031251912082304045,0.0031251912082304045,2.0303278125854973e-05
561,0.0,confounded,logger1_heavy,point,0.004190026452991622,0.004190026452991622,0.004190026452991622,base,True,True,0.0031251912082304045,0.0031251912082304045,0.0031251912082304045,4.0606556252154036e-05
561,0.0,confounded,logger1_heavy,interval,0.004190026452991622,0.004243770424501825,0.004216898438746723,base,True,True,0.0031251912082304045,0.0031251912082304045,0.0031251912082304045,2.0303278126299062e-05
561,0.0,confounded,logger1_heavy,point,0.004243770424501825,0.004243770424501825,0.004243770424501825,base|plus,True,True,0.0031251912082304045,0.006331595528965561,0.0031251912082304045,0.0
561,0.0,confounded,logger1_heavy,interval,0.004243770424501825,+inf,1.0042437704245017,plus,True,True,0.006331595528965561,0.006331595528965561,0.006331595528965561,0.7555555555555555
562,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0027490258004276846
562,0.0,confounded,logger1_heavy,interval,0.0,0.0036384165005660532,0.0018192082502830266,minus,False,False,0.0,0.0,0.0,0.0013745129002136203
562,0.0,confounded,logger1_heavy,point,0.0036384165005660532,0.0036384165005660532,0.0036384165005660532,minus|base,True,False,0.0,0.0027490258004272405,0.0,0.0
562,0.0,confounded,logger1_heavy,interval,0.0036384165005660532,0.0036937134250530587,0.003666064962809556,base,True,True,0.0027490258004272405,0.0027490258004272405,0.0027490258004272405,2.088994925086851e-05
562,0.0,confounded,logger1_heavy,point,0.0036937134250530587,0.0036937134250530587,0.0036937134250530587,base,True,True,0.0027490258004272405,0.0027490258004272405,0.0027490258004272405,4.1779898501292934e-05
562,0.0,confounded,logger1_heavy,interval,0.0036937134250530587,0.003749010349540064,0.003721361887296561,base,True,True,0.0027490258004272405,0.0027490258004272405,0.0027490258004272405,2.088994925086851e-05
562,0.0,confounded,logger1_heavy,point,0.003749010349540064,0.003749010349540064,0.003749010349540064,base|plus,True,True,0.0027490258004272405,0.005581611397857955,0.0027490258004272405,0.0
562,0.0,confounded,logger1_heavy,interval,0.003749010349540064,+inf,1.0037490103495401,plus,True,True,0.005581611397857955,0.005581611397857955,0.005581611397857955,0.7555555555555555
563,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0026123154672124116
