action,bootstrap_unit,ci_high,ci_low,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,seed_max,seed_min,seed_sd,seed_variation_reported_separately
base,anchor_id,0.01057110847368021,-0.001232464839963413,confounded,0.0,0.05,0.0048912562382456655,paired_prediction_increment,logger1_heavy,3,78,0.010661753883885466,6.615936981089996e-05,0.005360689577734069,True
base,anchor_id,0.03535057879563474,0.022199179223023877,confounded,0.0,0.05,0.028291388546590846,reward_population_mae,logger1_heavy,3,78,0.028833219071248983,0.027977460815484606,0.00047120622932935884,True
base,anchor_id,0.050773645110484676,0.030535827570447024,confounded,0.0,0.05,0.04133301370432762,reward_population_rmse,logger1_heavy,3,78,0.043124061936177786,0.03841379852246725,0.0025497481948138566,True
minus,anchor_id,0.028550825028940865,0.018949036224906474,confounded,0.0,0.05,0.023557468690867278,paired_increment_absolute_error,logger1_heavy,3,78,0.02441427033795202,0.022171159062775964,0.001211681094458327,True
minus,anchor_id,-0.01857417841750571,-0.03090879743191019,confounded,0.0,0.05,-0.02486856628483955,paired_prediction_increment,logger1_heavy,3,78,-0.018704464468000653,-0.03156283299714296,0.006445557882766742,True
minus,anchor_id,0.03862179015294909,0.024951691587663565,confounded,0.0,0.05,0.03136468719044183,reward_population_mae,logger1_heavy,3,78,0.03219581476184087,0.030444972467220752,0.0008787763923539463,True
minus,anchor_id,0.05437897297642138,0.034178056708159564,confounded,0.0,0.05,0.0447422107217856,reward_population_rmse,logger1_heavy,3,78,0.04666877656824781,0.042202658702786534,0.0022952921889901356,True
plus,anchor_id,0.02301802075999046,0.0147300300677171,confounded,0.0,0.05,0.018674629404786737,paired_increment_absolute_error,logger1_heavy,3,78,0.020166492420279236,0.016397930215681374,0.0020031203501136258,True
plus,anchor_id,0.04036942863392709,0.028948904174589313,confounded,0.0,0.05,0.03456986312802477,paired_prediction_increment,logger1_heavy,3,78,0.03998596519263104,0.031850149578519726,0.004690496476385172,True
plus,anchor_id,0.03482725641288724,0.021818353344970582,confounded,0.0,0.05,0.02766160093238874,reward_population_mae,logger1_heavy,3,78,0.02903539696477014,0.026490932571835258,0.0012843365602617726,True
plus,anchor_id,0.050363693493297786,0.029887236077266635,confounded,0.0,0.05,0.040213100322762915,reward_population_rmse,logger1_heavy,3,78,0.04155935585706612,0.038645173633663335,0.0014696829873992443,True
base,anchor_id,0.012608680475412073,0.008441625517782,confounded,0.0,0.05,0.010487810281306487,paired_heavy_increment_absolute_error,logger1_minus_logger2,3,78,0.01225284657316526,0.009277790080319516,0.0015632569941474315,True
base,anchor_id,0.005267273206928745,-0.000804549352106821,confounded,0.0,0.05,0.0023142723811631033,paired_heavy_prediction_increment,logger1_minus_logger2,3,78,0.004440427859525715,-0.0004470708947861564,0.002504896938399314,True
base,anchor_id,0.005234792627622556,-0.0006522672968446906,confounded,0.0,0.05,0.0023142723811631033,signed_heavy_neural_drift,logger1_minus_logger2,3,78,0.004440427859525715,-0.0004470708947861564,0.002504896938399314,True
base,anchor_id,0.0,0.0,confounded,0.0,0.05,0.0,signed_heavy_population_drift,logger1_minus_logger2,3,78,0.0,0.0,0.0,True
minus,anchor_id,0.014677450522901245,0.009904725921359622,confounded,0.0,0.05,0.012148558239846638,paired_heavy_increment_absolute_error,logger1_minus_logger2,3,78,0.013386620746300787,0.010490365914116725,0.0014931358987114655,True
minus,anchor_id,-0.005928475729276311,-0.012313939007750746,confounded,0.0,0.05,-0.00913002550501821,paired_heavy_prediction_increment,logger1_minus_logger2,3,78,-0.006315090959006691,-0.013329302076562292,0.00370635825752879,True
minus,anchor_id,-0.005929496994608603,-0.012245818691022701,confounded,0.0,0.05,-0.00913002550501821,signed_heavy_neural_drift,logger1_minus_logger2,3,78,-0.006315090959006691,-0.013329302076562292,0.00370635825752879,True
minus,anchor_id,-0.015555555555555342,-0.01555555555555547,confounded,0.0,0.05,-0.015555555555555408,signed_heavy_population_drift,logger1_minus_logger2,3,78,-0.015555555555555408,-0.015555555555555408,0.0,True
plus,anchor_id,0.01254749138832769,0.008419196432970058,confounded,0.0,0.05,0.010343506477313164,paired_heavy_increment_absolute_error,logger1_minus_logger2,3,78,0.0120268161279578,0.008523899106318492,0.0017554314901334265,True
plus,anchor_id,0.016568146572578265,0.01068370205432155,confounded,0.0,0.05,0.013565792208496122,paired_heavy_prediction_increment,logger1_minus_logger2,3,78,0.01648102729181744,0.011627910201007835,0.0025699417601197285,True
plus,anchor_id,0.016488604466119886,0.010485554677931936,confounded,0.0,0.05,0.013565792208496122,signed_heavy_neural_drift,logger1_minus_logger2,3,78,0.01648102729181744,0.011627910201007835,0.0025699417601197285,True
plus,anchor_id,0.015555555555555649,0.01555555555555554,confounded,0.0,0.05,0.015555555555555595,signed_heavy_population_drift,logger1_minus_logger2,3,78,0.015555555555555597,0.015555555555555597,2.1245936804851847e-18,True
base,anchor_id,0.016462065361303506,0.010896301433404379,confounded,0.0,0.05,0.013527465045766032,base_prediction_absolute_increment,logger2_heavy,3,78,0.014251745952247777,0.01301510870422521,0.0006449821212392296,True
base,anchor_id,0.016550293201839372,0.010915045348900185,confounded,0.0,0.05,0.013527465045766032,paired_increment_absolute_error,logger2_heavy,3,78,0.014251745952247777,0.01301510870422521,0.0006449821212392296,True
base,anchor_id,0.006416413326818503,-0.0013899539069956567,confounded,0.0,0.05,0.0025769838570825613,paired_prediction_increment,logger2_heavy,3,78,0.006221326024359752,0.0005132302645970563,0.0031653253360005074,True
base,anchor_id,0.031265801903223416,0.01821886639263128,confounded,0.0,0.05,0.02433564837894606,reward_population_mae,logger2_heavy,3,78,0.026274083843863722,0.023252355911988827,0.0016826057422310156,True
base,anchor_id,0.04985990880518077,0.026813654648943905,confounded,0.0,0.05,0.03854154722225209,reward_population_rmse,logger2_heavy,3,78,0.042389918424480075,0.03333543029828233,0.004677450575959628,True
minus,anchor_id,0.017573996424841847,0.011658147861538846,confounded,0.0,0.05,0.014490085125247631,paired_increment_absolute_error,logger2_heavy,3,78,0.015083470618849603,0.013404513088169381,0.0009414936498146453,True
minus,anchor_id,-0.011494830779850774,-0.019952576594867034,confounded,0.0,0.05,-0.015738540779821338,paired_prediction_increment,logger2_heavy,3,78,-0.010958780988515002,-0.01823353092058066,0.004140727703021278,True
minus,anchor_id,0.03341281092616818,0.020226186823572433,confounded,0.0,0.05,0.026149000005236258,reward_population_mae,logger2_heavy,3,78,0.028034719974620693,0.025145574471691405,0.001634204099220551,True
